,question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,seat_number,seat_name,start_date,end_date,election_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,notes,url,stage,answer,candidate_name,candidate_party,pct
25,115782,63282,2020,Wisconsin,1075,Marquette University Law School,,,Marquette Law School,195.0,Marquette University Law School,A/B,800,rv,rv,Live Phone,U.S. President,0,,1/8/20,1/12/20,,,False,,,False,False,1/15/20 14:28,,https://law.marquette.edu/poll/wp-content/uploads/2020/01/MLSP57Toplines.pdf,general,Trump,Donald Trump,REP,46.0
26,115668,63268,2020,,1189,Morning Consult,,,Morning Consult,218.0,Morning Consult,B/C,8299,rv,rv,Online,U.S. President,0,,1/6/20,1/12/20,,,False,,,False,False,1/14/20 06:21,,https://morningconsult.com/wp-content/uploads/2020/01/Morning-Consult-Political-Intelligence_January-14_MCPI_Final.pdf,general,Biden,Joe Biden,DEM,46.0
27,115668,63268,2020,,1189,Morning Consult,,,Morning Consult,218.0,Morning Consult,B/C,8299,rv,rv,Online,U.S. President,0,,1/6/20,1/12/20,,,False,,,False,False,1/14/20 06:21,,https://morningconsult.com/wp-content/uploads/2020/01/Morning-Consult-Political-Intelligence_January-14_MCPI_Final.pdf,general,Trump,Donald Trump,REP,41.0
28,115669,63268,2020,,1189,Morning Consult,,,Morning Consult,218.0,Morning Consult,B/C,8299,rv,rv,Online,U.S. President,0,,1/6/20,1/12/20,,,False,,,False,False,1/14/20 06:21,,https://morningconsult.com/wp-content/uploads/2020/01/Morning-Consult-Political-Intelligence_January-14_MCPI_Final.pdf,general,Sanders,Bernie Sanders,DEM,46.0
29,115669,63268,2020,,1189,Morning Consult,,,Morning Consult,218.0,Morning Consult,B/C,8299,rv,rv,Online,U.S. President,0,,1/6/20,1/12/20,,,False,,,False,False,1/14/20 06:21,,https://morningconsult.com/wp-content/uploads/2020/01/Morning-Consult-Political-Intelligence_January-14_MCPI_Final.pdf,general,Trump,Donald Trump,REP,42.0
30,115670,63268,2020,,1189,Morning Consult,,,Morning Consult,218.0,Morning Consult,B/C,8299,rv,rv,Online,U.S. President,0,,1/6/20,1/12/20,,,False,,,False,False,1/14/20 06:21,,https://morningconsult.com/wp-content/uploads/2020/01/Morning-Consult-Political-Intelligence_January-14_MCPI_Final.pdf,general,Warren,Elizabeth Warren,DEM,43.0
31,115670,63268,2020,,1189,Morning Consult,,,Morning Consult,218.0,Morning Consult,B/C,8299,rv,rv,Online,U.S. President,0,,1/6/20,1/12/20,,,False,,,False,False,1/14/20 06:21,,https://morningconsult.com/wp-content/uploads/2020/01/Morning-Consult-Political-Intelligence_January-14_MCPI_Final.pdf,general,Trump,Donald Trump,REP,41.0
32,115671,63268,2020,,1189,Morning Consult,,,Morning Consult,218.0,Morning Consult,B/C,8299,rv,rv,Online,U.S. President,0,,1/6/20,1/12/20,,,False,,,False,False,1/14/20 06:21,,https://morningconsult.com/wp-content/uploads/2020/01/Morning-Consult-Political-Intelligence_January-14_MCPI_Final.pdf,general,Bloomberg,Michael Bloomberg,DEM,43.0
33,115671,63268,2020,,1189,Morning Consult,,,Morning Consult,218.0,Morning Consult,B/C,8299,rv,rv,Online,U.S. President,0,,1/6/20,1/12/20,,,False,,,False,False,1/14/20 06:21,,https://morningconsult.com/wp-content/uploads/2020/01/Morning-Consult-Political-Intelligence_January-14_MCPI_Final.pdf,general,Trump,Donald Trump,REP,42.0
34,115672,63268,2020,,1189,Morning Consult,,,Morning Consult,218.0,Morning Consult,B/C,8299,rv,rv,Online,U.S. President,0,,1/6/20,1/12/20,,,False,,,False,False,1/14/20 06:21,,https://morningconsult.com/wp-content/uploads/2020/01/Morning-Consult-Political-Intelligence_January-14_MCPI_Final.pdf,general,Buttigieg,Pete Buttigieg,DEM,42.0
35,115672,63268,2020,,1189,Morning Consult,,,Morning Consult,218.0,Morning Consult,B/C,8299,rv,rv,Online,U.S. President,0,,1/6/20,1/12/20,,,False,,,False,False,1/14/20 06:21,,https://morningconsult.com/wp-content/uploads/2020/01/Morning-Consult-Political-Intelligence_January-14_MCPI_Final.pdf,general,Trump,Donald Trump,REP,42.0
36,115619,63257,2020,,228,IBD/TIPP,,,IBD/TIPP,144.0,IBD/TIPP,A/B,846,rv,rv,Live Phone,U.S. President,0,,1/3/20,1/11/20,,,False,,,False,False,1/13/20 10:39,,https://projects.fivethirtyeight.com/polls/20200114_National.xlsx,general,Biden,Joe Biden,DEM,48.0
37,115619,63257,2020,,228,IBD/TIPP,,,IBD/TIPP,144.0,IBD/TIPP,A/B,846,rv,rv,Live Phone,U.S. President,0,,1/3/20,1/11/20,,,False,,,False,False,1/13/20 10:39,,https://projects.fivethirtyeight.com/polls/20200114_National.xlsx,general,Trump,Donald Trump,REP,46.0
38,115620,63257,2020,,228,IBD/TIPP,,,IBD/TIPP,144.0,IBD/TIPP,A/B,846,rv,rv,Live Phone,U.S. President,0,,1/3/20,1/11/20,,,False,,,False,False,1/13/20 10:39,,https://projects.fivethirtyeight.com/polls/20200114_National.xlsx,general,Sanders,Bernie Sanders,DEM,48.0
39,115620,63257,2020,,228,IBD/TIPP,,,IBD/TIPP,144.0,IBD/TIPP,A/B,846,rv,rv,Live Phone,U.S. President,0,,1/3/20,1/11/20,,,False,,,False,False,1/13/20 10:39,,https://projects.fivethirtyeight.com/polls/20200114_National.xlsx,general,Trump,Donald Trump,REP,47.0
40,115621,63257,2020,,228,IBD/TIPP,,,IBD/TIPP,144.0,IBD/TIPP,A/B,846,rv,rv,Live Phone,U.S. President,0,,1/3/20,1/11/20,,,False,,,False,False,1/13/20 10:39,,https://projects.fivethirtyeight.com/polls/20200114_National.xlsx,general,Warren,Elizabeth Warren,DEM,46.0
41,115621,63257,2020,,228,IBD/TIPP,,,IBD/TIPP,144.0,IBD/TIPP,A/B,846,rv,rv,Live Phone,U.S. President,0,,1/3/20,1/11/20,,,False,,,False,False,1/13/20 10:39,,https://projects.fivethirtyeight.com/polls/20200114_National.xlsx,general,Trump,Donald Trump,REP,47.0
